Instituto Nacional de Estadística y Geografía (INEGI),,,,,,,,,,
"Matrícula escolar por entidad federativa según nivel educativo, ciclos escolares seleccionados de 2000/2001 a 2024/2025",,,,,,,,,,
,,,,,,,,,,
Fecha de consulta: 17/04/2026 22:41:07,,,,,,,,,,
,,,,,,,,,,
Alumnos,,,,,,,,,,
Entidad federativa,Nivel educativo,2020/2021,2020/2021,2020/2021,2021/2022,2021/2022,2021/2022,2022/2023,2022/2023,2022/2023
Entidad federativa,Nivel educativo,Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres
Chiapas,Superior,"78,489","39,946","38,543","81,378","40,487","40,891","81,960","40,368","41,592"
Chihuahua,Total,"1,010,549","501,955","508,594","1,001,254","494,796","506,458","993,058","491,364","501,694"
Chihuahua,Inicial,"9,657","5,007","4,650","9,529","4,829","4,700","9,498","4,943","4,555"
Chihuahua,Preescolar,"114,632","57,595","57,037","111,674","55,930","55,744","113,293","56,812","56,481"
Chihuahua,Primaria,"410,612","208,919","201,693","411,264","209,471","201,793","407,815","207,388","200,427"
Chihuahua,Secundaria,"191,704","95,986","95,718","193,255","97,037","96,218","185,353","92,823","92,530"
Chihuahua,Media superior,"146,581","69,186","77,395","142,814","66,288","76,526","147,536","69,656","77,880"
Chihuahua,Superior,"137,363","65,262","72,101","132,718","61,241","71,477","129,563","59,742","69,821"
Ciudad de México,Total,"2,487,737","1,252,064","1,235,673","2,442,319","1,222,907","1,219,412","2,394,247","1,200,124","1,194,123"
Ciudad de México,Inicial,"16,344","8,481","7,863","11,329","5,859","5,470","15,059","7,852","7,207"
Ciudad de México,Preescolar,"232,889","117,142","115,747","213,537","106,995","106,542","219,271","110,097","109,174"
Ciudad de México,Primaria,"789,656","400,342","389,314","776,219","393,541","382,678","746,095","377,824","368,271"
Ciudad de México,Secundaria,"438,828","221,562","217,266","432,334","218,593","213,741","409,226","206,382","202,844"
Ciudad de México,Media superior,"455,030","229,263","225,767","460,143","228,091","232,052","452,717","225,562","227,155"
Ciudad de México,Superior,"554,990","275,274","279,716","548,757","269,828","278,929","551,879","272,407","279,472"
Durango,Total,"515,011","258,316","256,695","507,005","252,699","254,306","508,979","253,980","254,999"
Durango,Inicial,"4,408","2,267","2,141","4,321","2,210","2,111","5,008","2,580","2,428"
Durango,Preescolar,"67,933","34,511","33,422","65,404","33,257","32,147","65,307","33,089","32,218"
Durango,Primaria,"219,167","111,799","107,368","215,285","109,621","105,664","213,596","109,048","104,548"
Durango,Secundaria,"94,766","47,440","47,326","95,182","47,735","47,447","96,459","48,405","48,054"
Durango,Media superior,"75,714","36,303","39,411","75,131","35,529","39,602","77,079","36,744","40,335"
Durango,Superior,"53,023","25,996","27,027","51,682","24,347","27,335","51,530","24,114","27,416"
Guanajuato,Total,"1,649,360","824,017","825,343","1,623,364","805,827","817,537","1,632,027","811,626","820,401"
Guanajuato,Inicial,"7,168","3,684","3,484","7,825","4,093","3,732","7,896","4,146","3,750"
Guanajuato,Preescolar,"231,077","116,771","114,306","225,035","113,119","111,916","233,290","117,392","115,898"
Guanajuato,Primaria,"699,796","356,282","343,514","690,596","351,245","339,351","683,673","347,829","335,844"
Guanajuato,Secundaria,"317,134","159,005","158,129","312,794","156,842","155,952","310,334","155,312","155,022"
Guanajuato,Media superior,"235,732","111,906","123,826","229,192","107,016","122,176","236,212","111,488","124,724"
Guanajuato,Superior,"158,453","76,369","82,084","157,922","73,512","84,410","160,622","75,459","85,163"
Guerrero,Total,"1,018,944","509,267","509,677","994,145","493,654","500,491","987,569","491,215","496,354"
Guerrero,Inicial,"3,166","1,621","1,545","2,604","1,318","1,286","3,440","1,840","1,600"
Guerrero,Preescolar,"168,806","85,379","83,427","164,471","83,053","81,418","167,848","84,975","82,873"
Guerrero,Primaria,"439,496","223,650","215,846","430,709","218,686","212,023","422,275","214,231","208,044"
Guerrero,Secundaria,"189,188","94,743","94,445","184,425","92,137","92,288","183,392","91,758","91,634"
Guerrero,Media superior,"141,869","68,948","72,921","137,398","65,293","72,105","137,517","65,853","71,664"
Guerrero,Superior,"76,419","34,926","41,493","74,538","33,167","41,371","73,097","32,558","40,539"
Hidalgo,Total,"870,576","433,846","436,730","849,447","419,451","429,996","848,126","419,621","428,505"
Hidalgo,Inicial,"3,739","1,858","1,881","3,553","1,792","1,761","4,257","2,209","2,048"
Hidalgo,Preescolar,"103,379","52,112","51,267","98,211","49,480","48,731","99,309","50,105","49,204"
Hidalgo,Primaria,"343,534","174,454","169,080","337,369","171,285","166,084","332,230","168,649","163,581"
Hidalgo,Secundaria,"171,868","86,864","85,004","169,276","84,858","84,418","168,950","84,722","84,228"
Hidalgo,Media superior,"140,705","67,857","72,848","134,773","63,527","71,246","136,878","65,399","71,479"
Hidalgo,Superior,"107,351","50,701","56,650","106,265","48,509","57,756","106,502","48,537","57,965"
Jalisco,Total,"2,219,637","1,107,045","1,112,592","2,209,567","1,098,193","1,111,374","2,208,031","1,097,192","1,110,839"
Jalisco,Inicial,"9,697","5,042","4,655","9,681","5,035","4,646","10,780","5,692","5,088"
Jalisco,Preescolar,"287,323","145,225","142,098","281,773","141,856","139,917","286,070","143,592","142,478"
Jalisco,Primaria,"933,180","475,626","457,554","933,401","475,922","457,479","915,227","465,528","449,699"
Jalisco,Secundaria,"416,574","209,601","206,973","416,478","209,750","206,728","412,210","207,100","205,110"
Jalisco,Media superior,"320,508","150,802","169,706","319,518","150,273","169,245","326,960","156,192","170,768"
Jalisco,Superior,"252,355","120,749","131,606","248,716","115,357","133,359","256,784","119,088","137,696"
México,Total,"4,263,468","2,124,286","2,139,182","4,131,404","2,050,476","2,080,928","4,171,884","2,074,285","2,097,599"
México,Inicial,"11,803","6,122","5,681","11,481","6,008","5,473","14,224","7,444","6,780"
México,Preescolar,"484,703","243,651","241,052","457,728","229,637","228,091","491,313","245,593","245,720"
México,Primaria,"1,783,617","905,115","878,502","1,719,960","871,170","848,790","1,704,384","863,719","840,665"
México,Secundaria,"876,940","439,574","437,366","857,837","430,336","427,501","845,366","424,760","420,606"
México,Media superior,"658,668","316,241","342,427","647,387","308,228","339,159","667,201","321,647","345,554"
México,Superior,"447,737","213,583","234,154","437,011","205,097","231,914","449,396","211,122","238,274"
Michoacán de Ocampo,Total,"1,247,908","618,520","629,388","1,210,031","594,848","615,183","1,240,523","610,900","629,623"
Michoacán de Ocampo,Inicial,"11,090","5,664","5,426","11,060","5,551","5,509","12,379","6,286","6,093"
Michoacán de Ocampo,Preescolar,"189,542","95,530","94,012","181,922","91,522","90,400","184,046","92,387","91,659"
Michoacán de Ocampo,Primaria,"542,035","274,653","267,382","531,531","268,933","262,598","540,950","274,252","266,698"
Michoacán de Ocampo,Secundaria,"225,770","111,651","114,119","218,035","107,087","110,948","222,424","109,103","113,321"
Michoacán de Ocampo,Media superior,"163,552","75,932","87,620","154,710","69,823","84,887","166,197","76,528","89,669"
Michoacán de Ocampo,Superior,"115,919","55,090","60,829","112,773","51,932","60,841","114,527","52,344","62,183"
Morelos,Total,"499,032","248,104","250,928","484,507","239,268","245,239","489,315","241,940","247,375"
Morelos,Inicial,"2,871","1,433","1,438","2,933","1,478","1,455","4,117","2,128","1,989"
Morelos,Preescolar,"57,867","29,202","28,665","55,231","27,923","27,308","58,884","29,657","29,227"
Morelos,Primaria,"201,222","102,216","99,006","197,511","100,341","97,170","195,107","99,214","95,893"
Morelos,Secundaria,"96,803","48,712","48,091","93,783","46,811","46,972","93,267","46,486","46,781"
Morelos,Media superior,"74,708","35,946","38,762","70,833","33,160","37,673","74,778","35,455","39,323"
Morelos,Superior,"65,561","30,595","34,966","64,216","29,555","34,661","63,162","29,000","34,162"
Nayarit,Total,"334,180","166,266","167,914","328,316","162,884","165,432","331,773","164,848","166,925"
Nayarit,Inicial,"2,254","1,175","1,079","2,818","1,442","1,376","2,747","1,392","1,355"
Nayarit,Preescolar,"44,470","22,575","21,895","42,968","21,905","21,063","45,259","22,952","22,307"
Nayarit,Primaria,"138,053","70,320","67,733","135,549","69,047","66,502","134,566","68,634","65,932"
Nayarit,Secundaria,"63,703","32,068","31,635","63,452","31,885","31,567","63,533","31,835","31,698"
Nayarit,Media superior,"52,014","24,510","27,504","49,799","23,413","26,386","51,863","24,643","27,220"
Nayarit,Superior,"33,686","15,618","18,068","33,730","15,192","18,538","33,805","15,392","18,413"
Nuevo León,Total,"1,483,961","750,941","733,020","1,478,838","743,509","735,329","1,497,684","753,526","744,158"
Nuevo León,Inicial,"8,963","4,571","4,392","8,604","4,416","4,188","9,421","4,856","4,565"
Nuevo León,Preescolar,"192,705","97,453","95,252","182,729","92,414","90,315","197,330","99,763","97,567"
Nuevo León,Primaria,"582,297","296,555","285,742","580,719","295,743","284,976","583,542","296,881","286,661"
Nuevo León,Secundaria,"278,060","140,615","137,445","278,606","140,514","138,092","275,402","138,946","136,456"
